step	post	like	prior	mu1	mu2	gamma	pi	spa1	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
37000	-107.799576687123675	-109.728210537164742	1.928633850041070	0.128736293609308	0.128736293609308	1.000000000000000	0.959301236588716	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	2	1	1	1	6	1	5	1	1	1	1	1	1	1	1	1	1	1	1
37500	-106.190794808753353	-108.326146381819754	2.135351573066406	0.094976009159654	0.094976009159654	1.000000000000000	0.981590069567454	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16097	0	1	1	2	1	5	5	5	6	6	1	1	1	1	1	1	1	1	1	1	1	1
38000	-107.881494238845818	-109.662499582503187	1.781005343657368	0.078638262802499	0.078638262802499	1.000000000000000	0.943694011745167	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	3	5	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1
38500	-111.013464763037916	-113.273974949064637	2.260510186026716	0.085528569978375	0.085528569978375	1.000000000000000	0.995335921091962	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	2	4	3	6	1	5	6	1	1	1	1	1	1	1	1	1	1	1	1
39000	-107.844474052902356	-110.021680747258443	2.177206694356090	0.119994465066940	0.119994465066940	1.000000000000000	0.986165653234495	0.000000000000000	16083	16089	16106	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	3	5	6	5	4	5	1	1	1	1	1	1	1	1	1	1	1	1
39500	-107.942785298304230	-110.071932310244350	2.129147011940121	0.198691850959171	0.198691850959171	1.000000000000000	0.980913598818076	0.000000000000000	16083	16089	16107	16112	16117	16123	16132	16135	16132	16139	16102	0	1	1	3	1	5	6	5	3	8	1	1	1	1	1	1	1	1	1	1	1	1
40000	-108.016132184123222	-110.217151194536783	2.201019010413559	0.194459324154990	0.194459324154990	1.000000000000000	0.988778317823405	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16134	16133	16139	16101	0	1	1	1	3	1	6	6	4	8	1	1	1	1	1	1	1	1	1	1	1	1
40500	-109.488779987569600	-111.025897674490395	1.537117686920792	0.159993858184467	0.159993858184467	1.000000000000000	0.918464583615661	0.000000000000000	16083	16089	16107	16112	16115	16124	16132	16135	16133	16139	16102	0	1	2	1	1	5	5	1	7	6	1	1	1	1	1	1	1	1	1	1	1	1
41000	-109.729462462072263	-110.168505033746484	0.439042571674226	0.123948591451618	0.123948591451618	1.000000000000000	0.812970642520947	0.000000000000000	16083	16089	16107	16112	16117	16123	16132	16135	16133	16139	16102	0	1	1	1	3	5	5	1	5	8	1	1	1	1	1	1	1	1	1	1	1	1
41500	-107.785471231037434	-109.951968080704248	2.166496849666811	0.191883265419434	0.191883265419434	1.000000000000000	0.984992831082617	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	4	5	6	5	4	6	1	1	1	1	1	1	1	1	1	1	1	1
42000	-116.151948309607079	-117.570011528838890	1.418063219231814	0.182908588351989	0.182908588351989	1.000000000000000	0.906394888890559	0.000000000000000	16083	16089	16107	16112	16117	16124	16130	16135	16132	16139	16102	0	1	2	3	1	3	2	11	4	4	1	1	1	1	1	1	1	1	1	1	1	1
42500	-103.944931488765249	-106.082588386153802	2.137656897388550	0.088493231457912	0.088493231457912	1.000000000000000	0.981841533267684	0.000000000000000	16083	16089	16105	16112	16117	16124	16132	16135	16133	16139	16101	0	1	1	1	1	5	5	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1
